generator,repeat,chi2,df,p_value,lower_tail,central_p,min_count,max_count,count_std
lcg_minstd,2,110.8750000000,124,0.7944813593,0.2055186407,0.4110372814,60,100,8.4576745069
lcg_minstd,3,130.4500000000,124,0.3282136144,0.6717863856,0.6564272288,55,110,9.1739462786
lcg_minstd,4,114.7500000000,124,0.712271488,0.287728512,0.575457024,61,103,8.6042000247
lcg_minstd,5,125.2500000000,124,0.4516775174,0.5483224826,0.9033550348,57,102,8.9892408808
lcg_minstd,6,126.0000000000,124,0.4330490108,0.5669509892,0.8660980215,56,103,9.0161146056
lcg_minstd,7,162.2250000000,124,0.01202672424,0.9879732758,0.02405344847,60,107,10.2304100760
lcg_minstd,8,125.7000000000,124,0.4404760734,0.5595239266,0.8809521468,58,104,9.0053747392
lcg_minstd,9,117.5250000000,124,0.6465449689,0.3534550311,0.7069100621,61,103,8.7076162436
lcg_minstd,10,141.4250000000,124,0.1355772797,0.8644227203,0.2711545594,56,104,9.5520644619
lcg_minstd,11,105.5500000000,124,0.8834507171,0.1165492829,0.2330985658,61,106,8.2520769624
lcg_minstd,12,122.6750000000,124,0.5167712613,0.4832287387,0.9664574774,56,99,8.8963566301
lcg_minstd,13,129.3250000000,124,0.3536012924,0.6463987076,0.7072025848,62,102,9.1343025936
lcg_minstd,14,162.2250000000,124,0.01202672424,0.9879732758,0.02405344847,55,107,10.2304100760
lcg_minstd,15,134.8750000000,124,0.2377997452,0.7622002548,0.4755994904,53,102,9.3282436199
lcg_minstd,16,145.2250000000,124,0.09349522119,0.9065047788,0.1869904424,58,106,9.6795427778
lcg_minstd,17,141.2500000000,124,0.1378073989,0.8621926011,0.2756147978,55,111,9.5461527464
lcg_minstd,18,119.3750000000,124,0.6006145611,0.3993854389,0.7987708778,55,97,8.7758833762
lcg_minstd,19,110.6500000000,124,0.7988365016,0.2011634984,0.4023269967,55,98,8.4490885174
lcg_minstd,20,126.5750000000,124,0.4189144472,0.5810855528,0.8378288943,58,99,9.0366636721
lcg_minstd,21,122.9750000000,124,0.5091305543,0.4908694457,0.9817388913,58,110,8.9072279457
lcg_minstd,22,116.0500000000,124,0.6820562087,0.3179437913,0.6358875825,62,102,8.6528011500
lcg_minstd,23,134.3750000000,124,0.2471931208,0.7528068792,0.4943862417,57,104,9.3109370306
lcg_minstd,24,102.9000000000,124,0.9164273313,0.08357266868,0.1671453374,62,100,8.1478277335
lcg_minstd,25,153.0500000000,124,0.03927489148,0.9607251085,0.07854978296,53,101,9.9368976790
lcg_minstd,26,130.0750000000,124,0.3365793037,0.6634206963,0.6731586075,57,102,9.1607507792
lcg_minstd,27,137.1000000000,124,0.1987125187,0.8012874813,0.3974250375,60,108,9.4048717643
lcg_minstd,28,120.9000000000,124,0.5620136577,0.4379863423,0.8759726846,55,103,8.8317608663
