dimension,level_max,family,delta,predicted_points,unique_points,estimate,exact,relative_error,weight_sum_error,elapsed_s
15,5,quintic,0.005,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.981
15,5,tanh,0.5,261497,261497,6.9344475061762552e+00,3.8144328082330436e-01,1.717950e+01,2.061711e-10,5.930
15,5,tanh,0.2,261497,261497,2.9923082337345776e-03,3.8144328082330436e-01,9.921553e-01,2.061711e-10,5.930
15,5,tanh,0.1,261497,261497,1.1465626363290386e-09,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.918
15,5,tanh,0.05,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.939
15,5,tanh,0.02,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.972
15,5,tanh,0.01,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.928
15,5,tanh,0.005,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.939
20,4,quintic,0.5,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.729
20,4,quintic,0.2,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.722
20,4,quintic,0.1,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.757
20,4,quintic,0.05,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.730
20,4,quintic,0.02,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.775
20,4,quintic,0.01,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.749
20,4,quintic,0.005,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.772
20,4,tanh,0.5,120401,120401,2.3588653852697883e+00,2.5806891390014051e-02,9.040448e+01,1.702460e-10,2.730
20,4,tanh,0.2,120401,120401,2.4219090596894145e-07,2.5806891390014051e-02,9.999906e-01,1.702460e-10,2.773
20,4,tanh,0.1,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.759
20,4,tanh,0.05,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.753
20,4,tanh,0.02,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.752
20,4,tanh,0.01,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.759
20,4,tanh,0.005,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.702460e-10,2.785
