T_K,C_V_J_per_K
249.000000,2.161421449996e+03
250.000000,2.163820611761e+03
251.000000,2.166194897884e+03
252.000000,2.168544636186e+03
253.000000,2.170870149397e+03
254.000000,2.173171755242e+03
255.000000,2.175449766529e+03
256.000000,2.177704491231e+03
257.000000,2.179936232571e+03
258.000000,2.182145289104e+03
259.000000,2.184331954795e+03
260.000000,2.186496519099e+03
261.000000,2.188639267039e+03
262.000000,2.190760479280e+03
263.000000,2.192860432206e+03
264.000000,2.194939397989e+03
265.000000,2.196997644667e+03
266.000000,2.199035436208e+03
267.000000,2.201053032585e+03
268.000000,2.203050689842e+03
269.000000,2.205028660156e+03
270.000000,2.206987191913e+03
271.000000,2.208926529762e+03
272.000000,2.210846914684e+03
273.000000,2.212748584053e+03
274.000000,2.214631771698e+03
275.000000,2.216496707960e+03
276.000000,2.218343619753e+03
277.000000,2.220172730621e+03
278.000000,2.221984260796e+03
279.000000,2.223778427251e+03
280.000000,2.225555443758e+03
281.000000,2.227315520939e+03
282.000000,2.229058866321e+03
283.000000,2.230785684383e+03
284.000000,2.232496176614e+03
285.000000,2.234190541558e+03
286.000000,2.235868974863e+03
287.000000,2.237531669331e+03
288.000000,2.239178814964e+03
289.000000,2.240810599012e+03
290.000000,2.242427206016e+03
291.000000,2.244028817855e+03
292.000000,2.245615613787e+03
293.000000,2.247187770498e+03
294.000000,2.248745462136e+03
295.000000,2.250288860361e+03
296.000000,2.251818134378e+03
297.000000,2.253333450985e+03
298.000000,2.254834974604e+03
299.000000,2.256322867328e+03
300.000000,2.257797288953e+03
301.000000,2.259258397017e+03
302.000000,2.260706346837e+03
303.000000,2.262141291546e+03
304.000000,2.263563382127e+03
305.000000,2.264972767447e+03
306.000000,2.266369594292e+03
307.000000,2.267754007402e+03
308.000000,2.269126149501e+03
309.000000,2.270486161330e+03
310.000000,2.271834181683e+03
311.000000,2.273170347429e+03
312.000000,2.274494793553e+03
313.000000,2.275807653179e+03
314.000000,2.277109057603e+03
315.000000,2.278399136318e+03
316.000000,2.279678017049e+03
317.000000,2.280945825775e+03
318.000000,2.282202686759e+03
319.000000,2.283448722576e+03
320.000000,2.284684054137e+03
321.000000,2.285908800717e+03
322.000000,2.287123079980e+03
323.000000,2.288327008006e+03
324.000000,2.289520699310e+03
325.000000,2.290704266875e+03
326.000000,2.291877822167e+03
327.000000,2.293041475167e+03
328.000000,2.294195334386e+03
329.000000,2.295339506894e+03
330.000000,2.296474098338e+03
331.000000,2.297599212967e+03
332.000000,2.298714953651e+03
333.000000,2.299821421904e+03
334.000000,2.300918717904e+03
335.000000,2.302006940512e+03
336.000000,2.303086187297e+03
337.000000,2.304156554549e+03
338.000000,2.305218137302e+03
339.000000,2.306271029355e+03
340.000000,2.307315323287e+03
341.000000,2.308351110476e+03
342.000000,2.309378481119e+03
343.000000,2.310397524249e+03
344.000000,2.311408327752e+03
345.000000,2.312410978384e+03
346.000000,2.313405561790e+03
347.000000,2.314392162517e+03
348.000000,2.315370864033e+03
349.000000,2.316341748743e+03
350.000000,2.317304898004e+03
351.000000,2.318260392141e+03
352.000000,2.319208310461e+03
353.000000,2.320148731270e+03
354.000000,2.321081731887e+03
355.000000,2.322007388658e+03
356.000000,2.322925776970e+03
357.000000,2.323836971266e+03
358.000000,2.324741045060e+03
359.000000,2.325638070948e+03
360.000000,2.326528120621e+03
361.000000,2.327411264881e+03
362.000000,2.328287573654e+03
363.000000,2.329157115999e+03
364.000000,2.330019960123e+03
365.000000,2.330876173393e+03
366.000000,2.331725822350e+03
367.000000,2.332568972717e+03
368.000000,2.333405689413e+03
369.000000,2.334236036565e+03
370.000000,2.335060077518e+03
371.000000,2.335877874848e+03
372.000000,2.336689490369e+03
373.000000,2.337494985149e+03
374.000000,2.338294419517e+03
375.000000,2.339087853075e+03
376.000000,2.339875344708e+03
377.000000,2.340656952593e+03
378.000000,2.341432734211e+03
379.000000,2.342202746354e+03
380.000000,2.342967045139e+03
381.000000,2.343725686012e+03
382.000000,2.344478723762e+03
383.000000,2.345226212527e+03
384.000000,2.345968205806e+03
385.000000,2.346704756466e+03
386.000000,2.347435916748e+03
387.000000,2.348161738282e+03
388.000000,2.348882272092e+03
389.000000,2.349597568602e+03
390.000000,2.350307677649e+03
391.000000,2.351012648488e+03
392.000000,2.351712529799e+03
393.000000,2.352407369700e+03
394.000000,2.353097215749e+03
395.000000,2.353782114953e+03
396.000000,2.354462113778e+03
397.000000,2.355137258155e+03
398.000000,2.355807593486e+03
399.000000,2.356473164652e+03
400.000000,2.357134016021e+03
401.000000,2.357790191452e+03
402.000000,2.358441734307e+03
403.000000,2.359088687451e+03
404.000000,2.359731093265e+03
405.000000,2.360368993649e+03
406.000000,2.361002430028e+03
407.000000,2.361631443360e+03
408.000000,2.362256074142e+03
409.000000,2.362876362415e+03
410.000000,2.363492347770e+03
411.000000,2.364104069358e+03
412.000000,2.364711565889e+03
413.000000,2.365314875641e+03
414.000000,2.365914036470e+03
415.000000,2.366509085807e+03
416.000000,2.367100060671e+03
417.000000,2.367686997669e+03
418.000000,2.368269933006e+03
419.000000,2.368848902487e+03
420.000000,2.369423941524e+03
421.000000,2.369995085138e+03
422.000000,2.370562367970e+03
423.000000,2.371125824278e+03
424.000000,2.371685487951e+03
425.000000,2.372241392504e+03
426.000000,2.372793571091e+03
427.000000,2.373342056507e+03
428.000000,2.373886881188e+03
429.000000,2.374428077224e+03
430.000000,2.374965676356e+03
431.000000,2.375499709986e+03
432.000000,2.376030209175e+03
433.000000,2.376557204654e+03
434.000000,2.377080726825e+03
435.000000,2.377600805764e+03
436.000000,2.378117471227e+03
437.000000,2.378630752654e+03
438.000000,2.379140679173e+03
439.000000,2.379647279601e+03
440.000000,2.380150582453e+03
441.000000,2.380650615941e+03
442.000000,2.381147407980e+03
443.000000,2.381640986194e+03
444.000000,2.382131377913e+03
445.000000,2.382618610185e+03
446.000000,2.383102709771e+03
447.000000,2.383583703156e+03
448.000000,2.384061616549e+03
449.000000,2.384536475884e+03
450.000000,2.385008306829e+03
451.000000,2.385477134784e+03
452.000000,2.385942984888e+03
453.000000,2.386405882020e+03
