formula,h,log10_h,abs_error,log10_abs_error
Backward O(h),3.1622776601683795e-18,-17.5,0.8775825618903728,-0.0567120150482362
Backward O(h),3.981071705534985e-18,-17.4,0.8775825618903728,-0.0567120150482362
Backward O(h),5.011872336272715e-18,-17.3,0.8775825618903728,-0.0567120150482362
Backward O(h),6.309573444801943e-18,-17.2,0.8775825618903728,-0.0567120150482362
Backward O(h),7.94328234724279e-18,-17.1,0.8775825618903728,-0.0567120150482362
Backward O(h),1e-17,-17.0,0.8775825618903728,-0.0567120150482362
Backward O(h),1.2589254117941713e-17,-16.9,0.8775825618903728,-0.0567120150482362
Backward O(h),1.584893192461111e-17,-16.8,0.8775825618903728,-0.0567120150482362
Backward O(h),1.9952623149688827e-17,-16.7,0.8775825618903728,-0.0567120150482362
Backward O(h),2.5118864315095718e-17,-16.6,0.8775825618903728,-0.0567120150482362
Backward O(h),3.1622776601683796e-17,-16.5,0.8778341723979777,-0.05658751691208927
Backward O(h),3.9810717055349855e-17,-16.4,0.5167945138623513,-0.2866821053302212
Backward O(h),5.0118723362727144e-17,-16.3,0.23001051923229965,-0.6382523016342591
Backward O(h),6.309573444801943e-17,-16.2,0.0022098950306247422,-2.6556283546873445
Backward O(h),7.943282347242789e-17,-16.1,0.1787385726605749,-0.7477817145008495
Backward O(h),1e-16,-16.0,0.23264046273478378,-0.6333147469843844
Backward O(h),1.2589254117941714e-16,-15.899999999999999,0.004298933410377459,-2.3666392819659423
Backward O(h),1.5848931924611109e-16,-15.8,0.1731724952070144,-0.7615210853463227
Backward O(h),1.995262314968883e-16,-15.7,0.2352766509519959,-0.628421170426436
Backward O(h),2.511886431509582e-16,-15.6,0.006392932143360119,-2.194299905283117
Backward O(h),3.1622776601683793e-16,-15.5,0.00012580525380245788,-3.900301221770143
Backward O(h),3.981071705534986e-16,-15.399999999999999,0.04095631643873843,-1.3876791101930483
Backward O(h),5.011872336272715e-16,-15.3,0.008491903007765256,-2.070994974872607
Backward O(h),6.309573444801943e-16,-15.2,0.0022098950306246312,-2.6556283546873662
Backward O(h),7.943282347242821e-16,-15.1,0.03896977481461883,-1.409272103754423
Backward O(h),1e-15,-15.0,0.010595857809752363,-1.974863878314998
Backward O(h),1.2589254117941714e-15,-14.899999999999999,0.004298933410377459,-2.3666392819659423
Backward O(h),1.584893192461111e-15,-14.8,0.033071820927362716,-1.4805418922670042
Backward O(h),1.995262314968883e-15,-14.7,0.01270480838352206,-1.8960318806810312
Backward O(h),2.511886431509582e-15,-14.6,0.006392932143360119,-2.194299905283117
Backward O(h),3.1622776601683794e-15,-14.5,0.00012580525380245788,-3.900301221770143
Backward O(h),3.981071705534985e-15,-14.399999999999999,0.0008749958338434283,-3.057994014798392
Backward O(h),5.0118723362727146e-15,-14.3,0.002584027803461564,-2.587702817757072
Backward O(h),6.309573444801943e-15,-14.2,0.0022098950306246312,-2.6556283546873662
Backward O(h),7.943282347242822e-15,-14.1,0.0029608645391688837,-2.5285814613162714
Backward O(h),1e-14,-14.0,0.0005063724364990918,-3.295529942410413
Backward O(h),1.2589254117941714e-14,-13.899999999999999,0.00011047406612629818,-3.956739660984585
Backward O(h),1.584893192461111e-14,-13.8,0.0015491692144411484,-2.809901142031409
Backward O(h),1.9952623149688828e-14,-13.7,0.0012059317770074518,-2.918677260775703
Backward O(h),2.5118864315095823e-14,-13.6,0.00197305467319131,-2.704860880314806
Backward O(h),3.1622776601683796e-14,-13.5,0.00012580525380245788,-3.900301221770143
Backward O(h),3.981071705534986e-14,-13.399999999999999,0.0005193812419094224,-3.28451373950136
Backward O(h),5.0118723362727144e-14,-13.3,0.0007387514399065376,-3.131501659622899
Backward O(h),6.309573444801943e-14,-13.2,0.00045031011678264843,-3.346488295956179
Backward O(h),7.943282347242822e-14,-13.1,0.0001654885822496288,-3.7812319646498187
Backward O(h),1e-13,-13.0,4.8739075813486465e-05,-4.31212271013095
Backward O(h),1.2589254117941713e-13,-12.899999999999999,0.00011047406612629818,-3.956739660984585
Backward O(h),1.584893192461111e-13,-12.8,0.0001481624716446195,-3.8292617857062416
