L,T,pbc,equil_sweeps,measure_sweeps,mean_E_per_spin,mean_m,mean_abs_m,mean_m2,specific_heat_fluct,acceptance,exact_m_infinite
32,2.0,True,900,1200,-1.7435188802083332,-0.9110904947916667,0.9110904947916667,0.8307905960083007,0.7355400306461982,0.07969156901041667,0.911319377877496
32,2.1,True,900,1200,-1.6683430989583334,0.8746907552083333,0.8746907552083333,0.7663875579833984,0.8662795194936005,0.10620768229166666,0.8687476243984027
32,2.2,True,900,1200,-1.5351497395833333,-0.7307991536458334,0.7319026692708334,0.5725170421600342,1.9225301297769943,0.15436767578125,0.7847551313839213
32,2.269,True,900,1200,-1.417509765625,-0.6086263020833333,0.6139583333333334,0.4225374539693197,2.3020750635151286,0.19837646484375,0.376889226422019
32,2.35,True,900,1200,-1.2787044270833334,0.14729329427083335,0.40362141927083334,0.2135166581471761,1.6423269878839981,0.25140055338541667,0.0
32,2.5,True,900,1200,-1.0948600260416668,0.0110546875,0.16909505208333334,0.04272946675618489,0.9023813577286629,0.32704833984375,0.0
32,2.75,True,900,1200,-0.93173828125,0.006324869791666667,0.114248046875,0.019960161844889322,0.49307834007678575,0.40317708333333335,0.0
32,3.0,True,900,1200,-0.818466796875,-0.0106494140625,0.08827962239583333,0.012114350001017253,0.38044882960916504,0.46090250651041664,0.0
32,3.5,True,900,1200,-0.6600911458333333,-0.003943684895833333,0.060408528645833334,0.005687837600708008,0.23995939076214307,0.5474202473958333,0.0
32,4.0,True,900,1200,-0.5588411458333333,-0.002880859375,0.0531640625,0.004359124501546224,0.1685854640151515,0.6084505208333333,0.0
