case,sweep,T,E,E_per_spin,M,m,abs_m,m2,acceptance
L30_T2,543,2.0,-1524.0,-1.6933333333333334,752,0.8355555555555556,0.8355555555555556,0.6981530864197532,0.12555555555555556
L30_T2,544,2.0,-1564.0,-1.7377777777777779,784,0.8711111111111111,0.8711111111111111,0.7588345679012345,0.09333333333333334
L30_T2,545,2.0,-1608.0,-1.7866666666666666,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.07333333333333333
L30_T2,546,2.0,-1656.0,-1.84,860,0.9555555555555556,0.9555555555555556,0.9130864197530865,0.05555555555555555
L30_T2,547,2.0,-1632.0,-1.8133333333333332,848,0.9422222222222222,0.9422222222222222,0.8877827160493826,0.051111111111111114
L30_T2,548,2.0,-1604.0,-1.7822222222222222,840,0.9333333333333333,0.9333333333333333,0.8711111111111112,0.06222222222222222
L30_T2,549,2.0,-1640.0,-1.8222222222222222,856,0.9511111111111111,0.9511111111111111,0.9046123456790124,0.057777777777777775
L30_T2,550,2.0,-1548.0,-1.72,790,0.8777777777777778,0.8777777777777778,0.7704938271604939,0.07222222222222222
L30_T2,551,2.0,-1508.0,-1.6755555555555555,772,0.8577777777777778,0.8577777777777778,0.7357827160493827,0.09222222222222222
L30_T2,552,2.0,-1524.0,-1.6933333333333334,744,0.8266666666666667,0.8266666666666667,0.6833777777777778,0.09777777777777778
L30_T2,553,2.0,-1420.0,-1.5777777777777777,688,0.7644444444444445,0.7644444444444445,0.5843753086419754,0.11333333333333333
L30_T2,554,2.0,-1428.0,-1.5866666666666667,694,0.7711111111111111,0.7711111111111111,0.5946123456790123,0.1388888888888889
L30_T2,555,2.0,-1488.0,-1.6533333333333333,754,0.8377777777777777,0.8377777777777777,0.7018716049382715,0.12
L30_T2,556,2.0,-1532.0,-1.7022222222222223,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.10111111111111111
L30_T2,557,2.0,-1544.0,-1.7155555555555555,800,0.8888888888888888,0.8888888888888888,0.7901234567901234,0.08
L30_T2,558,2.0,-1608.0,-1.7866666666666666,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.07777777777777778
L30_T2,559,2.0,-1600.0,-1.7777777777777777,828,0.92,0.92,0.8464,0.07111111111111111
L30_T2,560,2.0,-1512.0,-1.68,790,0.8777777777777778,0.8777777777777778,0.7704938271604939,0.09222222222222222
L30_T2,561,2.0,-1532.0,-1.7022222222222223,804,0.8933333333333333,0.8933333333333333,0.7980444444444444,0.09888888888888889
L30_T2,562,2.0,-1588.0,-1.7644444444444445,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.08777777777777777
L30_T2,563,2.0,-1572.0,-1.7466666666666666,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.07777777777777778
L30_T2,564,2.0,-1616.0,-1.7955555555555556,840,0.9333333333333333,0.9333333333333333,0.8711111111111112,0.07222222222222222
L30_T2,565,2.0,-1636.0,-1.8177777777777777,852,0.9466666666666667,0.9466666666666667,0.8961777777777777,0.057777777777777775
L30_T2,566,2.0,-1676.0,-1.8622222222222222,860,0.9555555555555556,0.9555555555555556,0.9130864197530865,0.04888888888888889
L30_T2,567,2.0,-1544.0,-1.7155555555555555,800,0.8888888888888888,0.8888888888888888,0.7901234567901234,0.07333333333333333
L30_T2,568,2.0,-1544.0,-1.7155555555555555,818,0.9088888888888889,0.9088888888888889,0.8260790123456789,0.09222222222222222
L30_T2,569,2.0,-1560.0,-1.7333333333333334,826,0.9177777777777778,0.9177777777777778,0.8423160493827161,0.08666666666666667
L30_T2,570,2.0,-1500.0,-1.6666666666666667,790,0.8777777777777778,0.8777777777777778,0.7704938271604939,0.09777777777777778
L30_T2,571,2.0,-1520.0,-1.6888888888888889,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.10111111111111111
L30_T2,572,2.0,-1600.0,-1.7777777777777777,832,0.9244444444444444,0.9244444444444444,0.8545975308641974,0.08222222222222222
L30_T2,573,2.0,-1624.0,-1.8044444444444445,850,0.9444444444444444,0.9444444444444444,0.8919753086419753,0.06333333333333334
L30_T2,574,2.0,-1640.0,-1.8222222222222222,848,0.9422222222222222,0.9422222222222222,0.8877827160493826,0.056666666666666664
L30_T2,575,2.0,-1576.0,-1.751111111111111,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.06444444444444444
