sweep,system_E,demon_E,magnetization,M2,acceptance
2400,-20.0,0.0,-6,36,0.76
2401,-24.0,4.0,6,36,0.74
2402,-20.0,0.0,0,0,0.81
2403,-24.0,4.0,-16,256,0.82
2404,-28.0,8.0,14,196,0.75
2405,-32.0,12.0,18,324,0.74
2406,-20.0,0.0,26,676,0.88
2407,-20.0,0.0,-2,4,0.74
2408,-20.0,0.0,-6,36,0.76
2409,-24.0,4.0,-14,196,0.74
2410,-28.0,8.0,0,0,0.81
2411,-24.0,4.0,12,144,0.86
2412,-28.0,8.0,8,64,0.8
2413,-24.0,4.0,-4,16,0.84
2414,-20.0,0.0,4,16,0.74
2415,-20.0,0.0,6,36,0.73
2416,-24.0,4.0,-10,100,0.82
2417,-20.0,0.0,-18,324,0.72
2418,-20.0,0.0,-4,16,0.69
2419,-20.0,0.0,2,4,0.69
2420,-20.0,0.0,18,324,0.82
2421,-20.0,0.0,12,144,0.63
2422,-20.0,0.0,-8,64,0.72
2423,-20.0,0.0,20,400,0.8
2424,-24.0,4.0,14,196,0.81
2425,-20.0,0.0,-2,4,0.86
2426,-28.0,8.0,-14,196,0.76
2427,-32.0,12.0,-4,16,0.83
2428,-24.0,4.0,-10,100,0.83
2429,-24.0,4.0,0,0,0.83
2430,-20.0,0.0,6,36,0.73
2431,-20.0,0.0,8,64,0.77
2432,-20.0,0.0,-2,4,0.71
2433,-24.0,4.0,2,4,0.7
2434,-20.0,0.0,6,36,0.86
2435,-20.0,0.0,2,4,0.8
2436,-28.0,8.0,-6,36,0.84
2437,-20.0,0.0,8,64,0.75
2438,-20.0,0.0,10,100,0.63
2439,-20.0,0.0,0,0,0.79
2440,-20.0,0.0,-22,484,0.85
2441,-24.0,4.0,-26,676,0.74
2442,-20.0,0.0,0,0,0.67
2443,-20.0,0.0,-4,16,0.84
2444,-24.0,4.0,-2,4,0.83
2445,-20.0,0.0,-26,676,0.74
2446,-24.0,4.0,2,4,0.78
2447,-20.0,0.0,-6,36,0.78
2448,-20.0,0.0,10,100,0.86
2449,-20.0,0.0,-2,4,0.78
2450,-28.0,8.0,-12,144,0.83
2451,-20.0,0.0,-2,4,0.87
2452,-20.0,0.0,-4,16,0.63
2453,-28.0,8.0,-10,100,0.91
2454,-20.0,0.0,-16,256,0.81
2455,-20.0,0.0,-8,64,0.74
2456,-20.0,0.0,-18,324,0.69
2457,-20.0,0.0,-20,400,0.75
2458,-20.0,0.0,-12,144,0.9
2459,-20.0,0.0,4,16,0.72
2460,-28.0,8.0,0,0,0.74
2461,-24.0,4.0,-10,100,0.89
2462,-28.0,8.0,-10,100,0.8
2463,-24.0,4.0,18,324,0.82
2464,-20.0,0.0,4,16,0.79
2465,-20.0,0.0,6,36,0.73
2466,-24.0,4.0,14,196,0.78
2467,-24.0,4.0,4,16,0.73
2468,-20.0,0.0,0,0,0.78
2469,-20.0,0.0,14,196,0.73
2470,-32.0,12.0,4,16,0.87
2471,-28.0,8.0,-6,36,0.89
2472,-32.0,12.0,10,100,0.86
2473,-20.0,0.0,10,100,0.76
2474,-28.0,8.0,-6,36,0.82
2475,-20.0,0.0,16,256,0.79
2476,-28.0,8.0,0,0,0.76
2477,-24.0,4.0,24,576,0.76
2478,-24.0,4.0,6,36,0.83
2479,-20.0,0.0,-8,64,0.79
2480,-20.0,0.0,6,36,0.69
2481,-20.0,0.0,10,100,0.78
2482,-20.0,0.0,-6,36,0.82
2483,-28.0,8.0,-6,36,0.68
2484,-20.0,0.0,-2,4,0.84
2485,-20.0,0.0,4,16,0.71
2486,-20.0,0.0,14,196,0.75
2487,-20.0,0.0,12,144,0.67
2488,-20.0,0.0,-2,4,0.81
2489,-20.0,0.0,6,36,0.72
2490,-24.0,4.0,-6,36,0.82
2491,-20.0,0.0,-6,36,0.9
2492,-20.0,0.0,2,4,0.82
2493,-20.0,0.0,-6,36,0.92
2494,-20.0,0.0,-4,16,0.81
2495,-32.0,12.0,-20,400,0.76
2496,-20.0,0.0,-18,324,0.81
2497,-24.0,4.0,-2,4,0.9
2498,-20.0,0.0,-6,36,0.84
2499,-20.0,0.0,-2,4,0.84
2500,-20.0,0.0,-4,16,0.75
2501,-20.0,0.0,-2,4,0.73
2502,-20.0,0.0,-6,36,0.76
2503,-20.0,0.0,12,144,0.79
2504,-32.0,12.0,2,4,0.79
2505,-20.0,0.0,8,64,0.81
2506,-20.0,0.0,2,4,0.77
2507,-28.0,8.0,2,4,0.68
2508,-20.0,0.0,14,196,0.82
2509,-24.0,4.0,14,196,0.84
2510,-20.0,0.0,-10,100,0.78
2511,-20.0,0.0,-6,36,0.74
2512,-20.0,0.0,0,0,0.87
2513,-20.0,0.0,8,64,0.84
2514,-20.0,0.0,10,100,0.75
2515,-20.0,0.0,8,64,0.69
2516,-24.0,4.0,-12,144,0.82
2517,-20.0,0.0,-20,400,0.82
2518,-24.0,4.0,-8,64,0.76
2519,-20.0,0.0,4,16,0.78
2520,-24.0,4.0,14,196,0.79
2521,-24.0,4.0,-2,4,0.78
2522,-20.0,0.0,0,0,0.75
2523,-20.0,0.0,-10,100,0.79
2524,-24.0,4.0,-40,1600,0.81
2525,-28.0,8.0,-20,400,0.88
2526,-28.0,8.0,-10,100,0.75
2527,-32.0,12.0,-14,196,0.8
2528,-20.0,0.0,-22,484,0.78
2529,-20.0,0.0,-16,256,0.77
2530,-20.0,0.0,4,16,0.76
2531,-20.0,0.0,-2,4,0.71
2532,-24.0,4.0,-2,4,0.72
2533,-28.0,8.0,-10,100,0.82
2534,-20.0,0.0,-10,100,0.74
2535,-20.0,0.0,-2,4,0.76
2536,-20.0,0.0,6,36,0.72
2537,-24.0,4.0,26,676,0.74
2538,-24.0,4.0,16,256,0.73
2539,-20.0,0.0,14,196,0.69
2540,-20.0,0.0,0,0,0.69
2541,-20.0,0.0,-16,256,0.82
2542,-28.0,8.0,8,64,0.76
2543,-20.0,0.0,-4,16,0.76
2544,-20.0,0.0,-2,4,0.77
2545,-20.0,0.0,-22,484,0.82
2546,-20.0,0.0,-4,16,0.83
2547,-20.0,0.0,-18,324,0.81
2548,-20.0,0.0,-12,144,0.83
2549,-20.0,0.0,4,16,0.76
2550,-20.0,0.0,-6,36,0.69
2551,-24.0,4.0,-10,100,0.76
2552,-20.0,0.0,-8,64,0.77
2553,-20.0,0.0,2,4,0.81
2554,-20.0,0.0,4,16,0.77
2555,-24.0,4.0,0,0,0.9
2556,-20.0,0.0,18,324,0.83
2557,-24.0,4.0,2,4,0.84
2558,-20.0,0.0,-14,196,0.84
2559,-20.0,0.0,-16,256,0.87
2560,-20.0,0.0,-14,196,0.65
2561,-24.0,4.0,-12,144,0.79
2562,-20.0,0.0,8,64,0.74
2563,-32.0,12.0,16,256,0.76
2564,-24.0,4.0,-6,36,0.71
2565,-20.0,0.0,18,324,0.76
2566,-24.0,4.0,8,64,0.79
2567,-20.0,0.0,18,324,0.77
2568,-20.0,0.0,-8,64,0.85
2569,-20.0,0.0,0,0,0.74
2570,-24.0,4.0,20,400,0.74
2571,-20.0,0.0,2,4,0.83
2572,-28.0,8.0,-6,36,0.74
2573,-20.0,0.0,4,16,0.79
2574,-24.0,4.0,-12,144,0.7
2575,-20.0,0.0,8,64,0.82
2576,-24.0,4.0,0,0,0.86
2577,-20.0,0.0,2,4,0.89
2578,-20.0,0.0,-4,16,0.71
2579,-28.0,8.0,-6,36,0.73
2580,-28.0,8.0,-14,196,0.88
2581,-24.0,4.0,-8,64,0.77
2582,-28.0,8.0,14,196,0.89
2583,-20.0,0.0,22,484,0.74
2584,-20.0,0.0,-12,144,0.75
2585,-20.0,0.0,-14,196,0.85
2586,-20.0,0.0,-24,576,0.87
2587,-20.0,0.0,-26,676,0.75
2588,-24.0,4.0,-10,100,0.78
2589,-20.0,0.0,-4,16,0.75
2590,-20.0,0.0,-22,484,0.73
2591,-20.0,0.0,-6,36,0.8
2592,-24.0,4.0,-12,144,0.83
2593,-20.0,0.0,-14,196,0.83
2594,-20.0,0.0,0,0,0.77
2595,-20.0,0.0,12,144,0.62
2596,-20.0,0.0,6,36,0.67
2597,-20.0,0.0,-10,100,0.8
2598,-20.0,0.0,-16,256,0.75
2599,-20.0,0.0,2,4,0.73
2600,-32.0,12.0,6,36,0.7
2601,-20.0,0.0,-12,144,0.73
2602,-24.0,4.0,-22,484,0.87
2603,-28.0,8.0,-28,784,0.77
2604,-20.0,0.0,-20,400,0.78
2605,-20.0,0.0,2,4,0.81
2606,-24.0,4.0,16,256,0.71
2607,-28.0,8.0,6,36,0.75
2608,-20.0,0.0,20,400,0.65
2609,-20.0,0.0,-2,4,0.79
2610,-24.0,4.0,-6,36,0.66
2611,-20.0,0.0,-8,64,0.77
2612,-28.0,8.0,2,4,0.89
2613,-20.0,0.0,0,0,0.83
2614,-20.0,0.0,-16,256,0.78
2615,-20.0,0.0,-8,64,0.74
2616,-20.0,0.0,-6,36,0.75
2617,-20.0,0.0,4,16,0.79
2618,-20.0,0.0,6,36,0.59
2619,-24.0,4.0,8,64,0.85
2620,-20.0,0.0,16,256,0.78
2621,-20.0,0.0,34,1156,0.85
2622,-24.0,4.0,0,0,0.85
2623,-20.0,0.0,0,0,0.76
2624,-24.0,4.0,16,256,0.78
2625,-24.0,4.0,-12,144,0.76
2626,-24.0,4.0,18,324,0.75
2627,-20.0,0.0,2,4,0.86
2628,-20.0,0.0,22,484,0.78
2629,-20.0,0.0,-14,196,0.74
2630,-24.0,4.0,-8,64,0.83
2631,-20.0,0.0,-10,100,0.73
2632,-20.0,0.0,-10,100,0.78
2633,-28.0,8.0,-12,144,0.71
2634,-28.0,8.0,-14,196,0.77
2635,-24.0,4.0,-6,36,0.78
2636,-28.0,8.0,-12,144,0.83
2637,-20.0,0.0,-14,196,0.73
2638,-24.0,4.0,-6,36,0.78
2639,-24.0,4.0,-22,484,0.82
2640,-20.0,0.0,-18,324,0.7
2641,-24.0,4.0,2,4,0.74
2642,-24.0,4.0,-16,256,0.73
2643,-24.0,4.0,-12,144,0.82
2644,-20.0,0.0,-18,324,0.79
2645,-20.0,0.0,-16,256,0.81
