order,sweep,E_per_spin,m,abs_m
random,43,-1.2133333333333334,0.2288888888888889,0.2288888888888889
random,44,-1.2355555555555555,0.18666666666666668,0.18666666666666668
random,45,-1.1822222222222223,0.19333333333333333,0.19333333333333333
random,46,-1.1244444444444444,0.11555555555555555,0.11555555555555555
random,47,-1.0977777777777777,0.13333333333333333,0.13333333333333333
random,48,-1.1422222222222222,0.12,0.12
random,49,-1.1066666666666667,0.14444444444444443,0.14444444444444443
random,50,-1.1244444444444444,0.16,0.16
random,51,-1.1022222222222222,0.14222222222222222,0.14222222222222222
random,52,-1.048888888888889,0.20444444444444446,0.20444444444444446
random,53,-1.1377777777777778,0.17777777777777778,0.17777777777777778
random,54,-1.16,0.15777777777777777,0.15777777777777777
random,55,-1.2044444444444444,0.17333333333333334,0.17333333333333334
random,56,-1.2044444444444444,0.22666666666666666,0.22666666666666666
random,57,-1.2177777777777778,0.1711111111111111,0.1711111111111111
random,58,-1.1555555555555554,0.18666666666666668,0.18666666666666668
random,59,-1.0977777777777777,0.2088888888888889,0.2088888888888889
random,60,-1.1155555555555556,0.27555555555555555,0.27555555555555555
random,61,-1.1111111111111112,0.19555555555555557,0.19555555555555557
random,62,-1.1866666666666668,0.26222222222222225,0.26222222222222225
random,63,-1.1511111111111112,0.24666666666666667,0.24666666666666667
random,64,-1.1955555555555555,0.21777777777777776,0.21777777777777776
random,65,-1.2355555555555555,0.21555555555555556,0.21555555555555556
random,66,-1.24,0.23555555555555555,0.23555555555555555
random,67,-1.16,0.24444444444444444,0.24444444444444444
random,68,-1.1155555555555556,0.24222222222222223,0.24222222222222223
random,69,-1.1466666666666667,0.23555555555555555,0.23555555555555555
random,70,-1.191111111111111,0.2822222222222222,0.2822222222222222
random,71,-1.2577777777777779,0.33111111111111113,0.33111111111111113
random,72,-1.1555555555555554,0.3,0.3
random,73,-1.16,0.27111111111111114,0.27111111111111114
random,74,-1.1111111111111112,0.25555555555555554,0.25555555555555554
random,75,-1.1822222222222223,0.2311111111111111,0.2311111111111111
random,76,-1.191111111111111,0.24444444444444444,0.24444444444444444
random,77,-1.2222222222222223,0.24222222222222223,0.24222222222222223
random,78,-1.1955555555555555,0.22444444444444445,0.22444444444444445
random,79,-1.2,0.2222222222222222,0.2222222222222222
random,80,-1.2622222222222221,0.21333333333333335,0.21333333333333335
random,81,-1.2622222222222221,0.2,0.2
random,82,-1.3155555555555556,0.19111111111111112,0.19111111111111112
random,83,-1.2755555555555556,0.15777777777777777,0.15777777777777777
random,84,-1.2844444444444445,0.1511111111111111,0.1511111111111111
random,85,-1.2044444444444444,0.13333333333333333,0.13333333333333333
random,86,-1.191111111111111,0.1511111111111111,0.1511111111111111
random,87,-1.208888888888889,0.18888888888888888,0.18888888888888888
random,88,-1.2266666666666666,0.18222222222222223,0.18222222222222223
random,89,-1.2755555555555556,0.1511111111111111,0.1511111111111111
random,90,-1.24,0.13333333333333333,0.13333333333333333
random,91,-1.191111111111111,0.16,0.16
random,92,-1.2577777777777779,0.18222222222222223,0.18222222222222223
random,93,-1.271111111111111,0.2088888888888889,0.2088888888888889
random,94,-1.2533333333333334,0.2311111111111111,0.2311111111111111
random,95,-1.248888888888889,0.2644444444444444,0.2644444444444444
random,96,-1.24,0.19777777777777777,0.19777777777777777
random,97,-1.2355555555555555,0.18,0.18
random,98,-1.1555555555555554,0.1622222222222222,0.1622222222222222
random,99,-1.2177777777777778,0.14444444444444443,0.14444444444444443
random,100,-1.1644444444444444,0.13777777777777778,0.13777777777777778
