time_sweeps,E_per_spin,abs_m
200.65,-1.2622222222222221,0.6466666666666666
200.7,-1.2444444444444445,0.6355555555555555
200.75,-1.2444444444444445,0.6288888888888889
200.8,-1.2533333333333334,0.6355555555555555
200.85,-1.2622222222222221,0.64
200.9,-1.248888888888889,0.6466666666666666
200.95,-1.2577777777777779,0.6577777777777778
201.0,-1.271111111111111,0.6533333333333333
201.05,-1.288888888888889,0.66
201.1,-1.2977777777777777,0.6666666666666666
201.15,-1.3333333333333333,0.6666666666666666
201.2,-1.3066666666666666,0.6488888888888888
201.25,-1.3022222222222222,0.6444444444444445
201.3,-1.2933333333333332,0.6488888888888888
201.35,-1.28,0.6555555555555556
201.4,-1.3111111111111111,0.6666666666666666
201.45,-1.3066666666666666,0.6577777777777778
201.5,-1.3066666666666666,0.6577777777777778
201.55,-1.3288888888888888,0.6711111111111111
201.6,-1.32,0.6888888888888889
201.65,-1.3333333333333333,0.6955555555555556
201.7,-1.3288888888888888,0.6866666666666666
201.75,-1.3244444444444445,0.6844444444444444
201.8,-1.3022222222222222,0.6822222222222222
201.85,-1.3111111111111111,0.6888888888888889
201.9,-1.3022222222222222,0.6844444444444444
201.95,-1.3022222222222222,0.6866666666666666
202.0,-1.3244444444444445,0.7022222222222222
202.05,-1.3155555555555556,0.6911111111111111
202.1,-1.3022222222222222,0.6933333333333334
202.15,-1.3066666666666666,0.6777777777777778
202.2,-1.3111111111111111,0.6911111111111111
202.25,-1.3155555555555556,0.6822222222222222
202.3,-1.3066666666666666,0.6844444444444444
202.35,-1.3022222222222222,0.68
202.4,-1.3066666666666666,0.6955555555555556
202.45,-1.32,0.7022222222222222
202.5,-1.2977777777777777,0.6977777777777778
202.55,-1.3111111111111111,0.6955555555555556
202.6,-1.32,0.6933333333333334
202.65,-1.3333333333333333,0.6955555555555556
202.7,-1.3111111111111111,0.6844444444444444
202.75,-1.3333333333333333,0.6866666666666666
202.8,-1.36,0.6866666666666666
202.85,-1.3422222222222222,0.6777777777777778
202.9,-1.3022222222222222,0.6755555555555556
202.95,-1.32,0.68
203.0,-1.32,0.6777777777777778
203.05,-1.3244444444444445,0.6755555555555556
203.1,-1.3377777777777777,0.6888888888888889
203.15,-1.3377777777777777,0.6844444444444444
203.2,-1.3377777777777777,0.6977777777777778
203.25,-1.3466666666666667,0.6955555555555556
203.3,-1.3911111111111112,0.7111111111111111
203.35,-1.36,0.6955555555555556
203.4,-1.3288888888888888,0.68
203.45,-1.3377777777777777,0.6888888888888889
203.5,-1.3244444444444445,0.6866666666666666
203.55,-1.3466666666666667,0.6888888888888889
203.6,-1.3688888888888888,0.6844444444444444
203.65,-1.3866666666666667,0.6933333333333334
203.7,-1.4133333333333333,0.7
203.75,-1.4133333333333333,0.7044444444444444
203.8,-1.4266666666666667,0.7066666666666667
203.85,-1.4266666666666667,0.7111111111111111
203.9,-1.4266666666666667,0.7044444444444444
203.95,-1.4266666666666667,0.7111111111111111
204.0,-1.4444444444444444,0.7177777777777777
204.05,-1.4622222222222223,0.7222222222222222
204.1,-1.4444444444444444,0.7155555555555555
204.15,-1.4666666666666666,0.7133333333333334
204.2,-1.4355555555555555,0.6955555555555556
204.25,-1.4444444444444444,0.6977777777777778
204.3,-1.4355555555555555,0.7
204.35,-1.4266666666666667,0.6977777777777778
204.4,-1.4222222222222223,0.6911111111111111
204.45,-1.431111111111111,0.6955555555555556
204.5,-1.4266666666666667,0.6866666666666666
204.55,-1.4133333333333333,0.68
204.6,-1.4355555555555555,0.6844444444444444
204.65,-1.4444444444444444,0.6866666666666666
204.7,-1.44,0.68
204.75,-1.44,0.68
204.8,-1.4533333333333334,0.6822222222222222
204.85,-1.4577777777777778,0.6822222222222222
204.9,-1.471111111111111,0.6866666666666666
204.95,-1.4755555555555555,0.6888888888888889
