N,estimate,exact_quad,standard_error,absolute_error,hit_fraction
733499,-2.08328779761,-2.09613155356,0.00692134970562,0.0128437559424,0.334217224563
826985,-2.08483212857,-2.09613155356,0.00651781391424,0.0112994249856,0.334094330611
932386,-2.08477655404,-2.09613155356,0.00613838796263,0.0113549995201,0.334098753092
1051220,-2.08770878558,-2.09613155356,0.00578002562374,0.00842276797936,0.33386541352
1185201,-2.09006918703,-2.09613155356,0.00544276502979,0.00606236652312,0.33367757874
1336257,-2.09269294998,-2.09613155356,0.00512510429871,0.00343860357925,0.333468786319
1506567,-2.09382791009,-2.09613155356,0.00482640854385,0.00230364346302,0.333378469062
1698582,-2.09223484153,-2.09613155356,0.00454586261493,0.00389671202735,0.333505241431
1915070,-2.09207002603,-2.09613155356,0.00428125903055,0.0040615275246,0.333518357031
2159150,-2.0906566874,-2.09613155356,0.00403235715565,0.00547486615258,0.333630826946
2434339,-2.09103111535,-2.09613155356,0.00379752101511,0.00510043820445,0.333601030916
2744601,-2.09125877625,-2.09613155356,0.00357639283521,0.00487277730695,0.333582914238
3094406,-2.09290336317,-2.09613155356,0.00336785673362,0.00322819038722,0.333452042169
3488795,-2.09255692107,-2.09613155356,0.00317185628252,0.00357463248456,0.333479611155
3933450,-2.0924463078,-2.09613155356,0.00298722044916,0.00368524575172,0.333488413479
4434777,-2.0932673308,-2.09613155356,0.00281317620905,0.00286422275214,0.333423078545
5000000,-2.09348948595,-2.09613155356,0.00264936669325,0.00264206760534,0.3334054
