x,precision,method,value
0.709249999999999999999999999999999983,quad,expanded,4.31715094894986092285731534593796443e-06
0.709249999999999999999999999999999983,quad,horner,4.31715094894986092285731534421666454e-06
0.709500015,float,direct,4.28017074e-06
0.709500015,float,expanded,5.38676977e-06
0.709500015,float,horner,5.66244125e-06
0.70949999999999991,double,direct,4.2801734354006284e-06
0.70949999999999991,double,expanded,4.2801734412359349e-06
0.70949999999999991,double,horner,4.2801734330133456e-06
0.709499999999999999999999999999999978,quad,direct,4.28017343540061432349978886816406549e-06
0.709499999999999999999999999999999978,quad,expanded,4.2801734354006143234997888601428535e-06
0.709499999999999999999999999999999978,quad,horner,4.28017343540061432349978887016370774e-06
0.709749997,float,direct,4.24348127e-06
0.709749997,float,expanded,4.03821468e-06
0.709749997,float,horner,1.25169754e-06
0.70974999999999999,double,direct,4.2434812161689557e-06
0.70974999999999999,double,expanded,4.2434812213068551e-06
0.70974999999999999,double,horner,4.2434812121960874e-06
0.709749999999999999999999999999999974,quad,direct,4.24348121616895470986357582435703798e-06
0.709749999999999999999999999999999974,quad,expanded,4.24348121616895470986357582012136302e-06
0.709749999999999999999999999999999974,quad,horner,4.2434812161689547098635758218607185e-06
0.709999979,float,direct,4.20707602e-06
0.709999979,float,expanded,3.04356217e-06
0.709999979,float,horner,7.21216202e-06
0.70999999999999996,double,direct,4.2070723330020145e-06
0.70999999999999996,double,expanded,4.2070723275111632e-06
0.70999999999999996,double,horner,4.2070723271780963e-06
0.709999999999999999999999999999999969,quad,direct,4.20707233300201000000000000000000482e-06
0.709999999999999999999999999999999969,quad,expanded,4.20707233300200999999999999065620226e-06
0.709999999999999999999999999999999969,quad,horner,4.20707233300201000000000000347567345e-06
0.71024996,float,direct,4.17095043e-06
0.71024996,float,expanded,1.72480941e-06
0.71024996,float,horner,3.93390656e-06
0.71024999999999994,double,direct,4.1709448394182478e-06
0.71024999999999994,double,expanded,4.1709448437982077e-06
0.71024999999999994,double,horner,4.1709448375115699e-06
0.710249999999999999999999999999999965,quad,direct,4.17094483941823858889147131004429415e-06
0.710249999999999999999999999999999965,quad,expanded,4.17094483941823858889147131483198199e-06
0.710249999999999999999999999999999965,quad,horner,4.17094483941823858889147131085975148e-06
0.710500002,float,direct,4.13509679e-06
0.710500002,float,expanded,5.78165054e-06
0.710500002,float,horner,4.94718552e-06
0.71049999999999991,double,direct,4.13509680064674e-06
0.71049999999999991,double,expanded,4.1350968023184942e-06
0.71049999999999991,double,horner,4.1350967978637243e-06
0.71049999999999999999999999999999996,quad,direct,4.13509680064672651809540254003906847e-06
0.71049999999999999999999999999999996,quad,expanded,4.13509680064672651809540254187653291e-06
0.71049999999999999999999999999999996,quad,horner,4.13509680064672651809540254259273811e-06
0.710749984,float,direct,4.09952872e-06
0.710749984,float,expanded,1.28895044e-06
0.710749984,float,horner,1.49011612e-06
0.71074999999999999,double,direct,4.0995262935667462e-06
0.71074999999999999,double,expanded,4.09952629003979e-06
0.71074999999999999,double,horner,4.09952629010224e-06
0.710749999999999999999999999999999955,quad,direct,4.09952629356674573212060543846989291e-06
0.710749999999999999999999999999999955,quad,expanded,4.0995262935667457321206054304835336e-06
0.710749999999999999999999999999999955,quad,horner,4.09952629356674573212060544066688818e-06
0.710999966,float,direct,4.06423669e-06
0.710999966,float,expanded,5.33089042e-06
0.710999966,float,horner,5.78165054e-06
0.71099999999999997,double,direct,4.0642314066475776e-06
0.71099999999999997,double,expanded,4.0642314089178733e-06
0.71099999999999997,double,horner,4.0642314074190722e-06
0.710999999999999999999999999999999951,quad,direct,4.06423140664757252240160100000000728e-06
0.710999999999999999999999999999999951,quad,expanded,4.06423140664757252240160100364626733e-06
0.710999999999999999999999999999999951,quad,horner,4.06423140664757252240160100367635998e-06
0.711250007,float,direct,4.02920932e-06
0.711250007,float,expanded,3.04356217e-06
0.711250007,float,horner,4.76837158e-06
0.71124999999999994,double,direct,4.0292102398885739e-06
0.71124999999999994,double,expanded,4.0292102508471261e-06
0.71124999999999994,double,horner,4.0292102462258228e-06
